,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
5397,14,"Zylstra, Brandon",car,den,0.8,4500.0,Home
5398,14,"Watkins, Quez",phi,nor,0.8,4500.0,Home
5399,14,"Wims, Javon",chi,hou,0.2,4700.0,Home
5400,14,"Kemp, Marcus",kan, mia,0.0,4500.0,Away
5401,14,"Batson, Cameron",ten, jac,0.0,4800.0,Away
5402,14,"Sharpe, Tajae",min, tam,0.0,4500.0,Away
5403,14,"Board, C.J.",nyg,ari,0.0,4500.0,Home
5404,14,"Olszewski, Gunner",nwe, lar,0.0,4800.0,Away
5405,14,"Callaway, Antonio",mia,kan,0.0,4700.0,Home
5406,14,"Mack, Austin",nyg,ari,0.0,4500.0,Home
5407,14,"Ridley, Riley",chi,hou,0.0,4500.0,Home
5408,14,"Moncrief, Donte",nwe, lar,0.0,4500.0,Away
5409,14,"Sherfield, Trent",ari, nyg,0.0,4600.0,Away
5410,14,"Proche, James",bal, cle,0.0,4600.0,Away
5411,14,"Wilson, Cedrick",dal, cin,0.0,4700.0,Away
5412,14,"Edwards, Bryan",lvr,ind,0.0,4700.0,Home
5413,14,"Thomas, Mike",cin,dal,0.0,4500.0,Home
5414,14,"Brown, Noah",dal, cin,0.0,4500.0,Away
5415,14,"Cracraft, River",sfo,was,0.0,4500.0,Home
5416,14,"Conley, Chris",jac,ten,0.0,4900.0,Home
5417,14,"Morgan, Stanley",cin,dal,0.0,4500.0,Home
5418,14,"Johnson, Olabisi",min, tam,0.0,4700.0,Away
5419,14,"Johnson, Tyler",tam,min,0.0,4800.0,Home
5420,14,"Lewis, Tommylee",nor, phi,0.0,4500.0,Away
5421,14,"Watson, Justin",tam,min,0.0,4500.0,Home
5422,14,"Johnson, Marcus",ind, lvr,0.0,4600.0,Away
5423,14,"Duvernay, Devin",bal, cle,0.0,5100.0,Away
5424,14,"Roberts, Andre",buf,pit,0.0,4500.0,Home
5425,14,"Blake, Christian",atl, lac,0.0,4600.0,Away
5426,14,"Westbrook, Nick",ten, jac,0.0,4500.0,Away
5427,14,"Parker, DeVante",mia,kan,0.0,6500.0,Home
5428,14,"Foster, Robert",was, sfo,0.0,4500.0,Away
5429,14,"Kumerow, Jake",buf,pit,0.0,4500.0,Home
5430,14,"Slater, Matthew",nwe, lar,0.0,4500.0,Away
5431,14,"Raymond, Kalif",ten, jac,0.0,4600.0,Away
5432,14,"McCloud, Ray-Ray",pit, buf,0.0,4600.0,Away
5433,14,"Dulin, Ashton",ind, lvr,0.0,4500.0,Away
5434,14,"Webster, Nsimba",lar,nwe,0.0,4500.0,Home
5435,14,"Williams, Mike",lac,atl,0.0,6100.0,Home
5436,14,"Jefferson, Van",lar,nwe,0.0,4700.0,Home
5437,14,"Fulgham, Travis",phi,nor,0.0,5600.0,Home
5438,14,"Beebe, Chad",min, tam,0.0,4900.0,Away
5439,14,"Erickson, Alex",cin,dal,-0.6,4500.0,Home
5440,14,"Kelce, Travis",kan, mia,23.6,8200.0,Away
5441,14,"Gesicki, Mike",mia,kan,21.0,5700.0,Home
5442,14,"Smith Jr., Irv",min, tam,14.3,5100.0,Away
5443,14,"Hockenson, T.J.",det,gnb,13.3,6000.0,Home
5444,14,"Tonyan, Robert",gnb, det,12.1,5900.0,Away
5445,14,"Moreau, Foster",lvr,ind,11.2,4100.0,Home
5446,14,"Cook, Jared",nor, phi,11.2,5400.0,Away
5447,14,"Waller, Darren",lvr,ind,11.0,7100.0,Home
5448,14,"Swaim, Geoff",ten, jac,10.9,4100.0,Away
5449,14,"Graham, Jimmy",chi,hou,10.3,5200.0,Home
5450,14,"Andrews, Mark",bal, cle,10.3,6600.0,Away
5451,14,"Vannett, Nick",den, car,10.0,4200.0,Away
5452,14,"Arnold, Dan",ari, nyg,9.7,5000.0,Away
5453,14,"Dissly, Will",sea,nyj,9.3,4600.0,Home
